0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/bg.jpg HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/ss.png HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:43 +0800] "GET /Lmonkeyshop/img/sprite_nav_3.png.html HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:57 +0800] "GET /Lmonkeyshop/reg.jsp HTTP/1.1" 200 3017
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:57 +0800] "GET /Lmonkeyshop/css/login.css HTTP/1.1" 200 2038
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:57 +0800] "GET /Lmonkeyshop/css/public.css HTTP/1.1" 200 7903
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:57 +0800] "GET /Lmonkeyshop/js/jquery-1.12.4.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:57 +0800] "GET /Lmonkeyshop/js/function.js HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:57 +0800] "GET /Lmonkeyshop/js/calendar.js HTTP/1.1" 200 16758
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:57 +0800] "GET /Lmonkeyshop/img/temp/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:57 +0800] "GET /Lmonkeyshop/img/temp/20.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:57 +0800] "GET /Lmonkeyshop/getcode HTTP/1.1" 200 2026
0:0:0:0:0:0:0:1 - - [30/Nov/2020:10:47:57 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [30/Nov/2020:11:07:38 +0800] "GET /Lmonkeyshop/usernamecheck?name=gfds&1606705657875 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Nov/2020:11:07:41 +0800] "GET /Lmonkeyshop/reg.jsp HTTP/1.1" 200 3017
0:0:0:0:0:0:0:1 - - [30/Nov/2020:11:07:41 +0800] "GET /Lmonkeyshop/getcode HTTP/1.1" 200 2019
0:0:0:0:0:0:0:1 - - [30/Nov/2020:11:07:43 +0800] "GET /Lmonkeyshop/usernamecheck?name=gfds&1606705663877 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Nov/2020:11:07:47 +0800] "GET /Lmonkeyshop/usernamecheck?name=gfds&1606705667194 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Nov/2020:11:07:48 +0800] "GET /Lmonkeyshop/usernamecheck?name=gfds&1606705668966 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Nov/2020:11:10:51 +0800] "GET /Lmonkeyshop/usernamecheck?name=gfds&1606705851038 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Nov/2020:11:10:57 +0800] "GET /Lmonkeyshop/usernamecheck?name=11&1606705857892 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Nov/2020:11:11:06 +0800] "GET /Lmonkeyshop/usernamecheck?name=yys&1606705866872 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Nov/2020:11:11:10 +0800] "GET /Lmonkeyshop/usernamecheck?name=11&1606705870524 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:47:08 +0800] "GET /Lmonkeyshop/usernamecheck?name=%E6%B1%9F%E6%A5%A0%E5%9D%A4&1606726028664 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:47:30 +0800] "GET /Lmonkeyshop/checkusernum?num=V9FH&1606726050294 HTTP/1.1" 500 1422
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:47:30 +0800] "GET /Lmonkeyshop/checkusernum?num=V9FH&1606726050364 HTTP/1.1" 500 1422
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:47:30 +0800] "GET /Lmonkeyshop/usernamecheck?name=%E6%B1%9F%E6%A5%A0%E5%9D%A4&1606726050363 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:47:30 +0800] "POST /Lmonkeyshop/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:47:30 +0800] "GET /Lmonkeyshop/login.jsp HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:49:19 +0800] "GET /Lmonkeyshop/reg.jsp HTTP/1.1" 200 3017
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:49:19 +0800] "GET /Lmonkeyshop/js/calendar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:49:19 +0800] "GET /Lmonkeyshop/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:49:19 +0800] "GET /Lmonkeyshop/js/function.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:49:19 +0800] "GET /Lmonkeyshop/getcode HTTP/1.1" 200 2032
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:49:20 +0800] "GET /Lmonkeyshop/reg.jsp HTTP/1.1" 200 3017
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:49:20 +0800] "GET /Lmonkeyshop/getcode HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:49:26 +0800] "GET /Lmonkeyshop/usernamecheck?name=%E6%B1%9F%E6%A5%A0%E5%9D%A4&1606726166095 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:49:40 +0800] "GET /Lmonkeyshop/getcode?1606726180940 HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:49:45 +0800] "GET /Lmonkeyshop/checkusernum?num=LSLS&1606726185580 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:49:45 +0800] "GET /Lmonkeyshop/checkusernum?num=LSLS&1606726185649 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:49:45 +0800] "GET /Lmonkeyshop/usernamecheck?name=%E6%B1%9F%E6%A5%A0%E5%9D%A4&1606726185648 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:49:45 +0800] "POST /Lmonkeyshop/register HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:50:36 +0800] "GET /Lmonkeyshop/checkusernum?num=LSLS&1606726236956 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:50:36 +0800] "GET /Lmonkeyshop/usernamecheck?name=%E6%B1%9F%E6%A5%A0%E5%9D%A4&1606726236955 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [30/Nov/2020:16:50:36 +0800] "POST /Lmonkeyshop/register HTTP/1.1" 200 70
